# PROVISORIO — propuesta para revisar con Mariana (decisión pendiente #2). No se aplica solo: importar desde Contabilidad › Plan › Importar (vista previa primero).
codigo;nombre;rubro;imputable;auxiliar
4.1.03.001;Alquiler de maquinaria;ingreso;S;none
4.1.03.002;Venta de áridos;ingreso;S;none
4.1.04;Deducciones de ventas;ingreso;N;none
4.1.04.001;Descuentos y bonificaciones otorgados;ingreso;S;none
4.2;Otros ingresos;ingreso;N;none
4.2.01;Ingresos financieros y varios;ingreso;N;none
4.2.01.001;Intereses ganados;ingreso;S;none
4.2.01.002;Diferencia de cambio positiva;ingreso;S;none
4.2.01.003;Resultado por venta de bienes de uso;ingreso;S;none
4.2.01.004;Recupero de gastos;ingreso;S;none
4.2.01.005;Ingresos varios;ingreso;S;none
5;EGRESOS;egreso;N;none
5.1;Costo de obras y servicios;egreso;N;none
5.1.01;Costo de construcción;egreso;N;none
5.1.01.001;Materiales de obra;egreso;S;none
5.1.01.002;Sueldos y jornales de obra;egreso;S;none
5.1.01.003;Cargas sociales de obra;egreso;S;none
5.1.01.004;Fondo de cese laboral;egreso;S;none
5.1.01.005;Subcontratistas;egreso;S;none
5.1.01.006;Alquiler de equipos a terceros;egreso;S;none
5.1.01.007;Herramientas, EPP y ropa de trabajo;egreso;S;none
5.1.01.008;Fletes y acarreos de compras;egreso;S;none
5.1.01.009;Seguros de obra;egreso;S;none
5.1.01.010;Otros costos de obra;egreso;S;none
5.1.02;Costo de transporte;egreso;N;none
5.1.02.001;Combustibles y lubricantes;egreso;S;none
5.1.02.002;Cubiertas;egreso;S;none
5.1.02.003;Reparaciones y mantenimiento de flota;egreso;S;none
5.1.02.004;Peajes;egreso;S;none
5.1.02.005;Viáticos de choferes;egreso;S;none
5.1.02.006;Sueldos y cargas sociales de choferes;egreso;S;none
5.1.02.007;Fleteros subcontratados;egreso;S;none
5.1.02.008;Seguros de flota;egreso;S;none
5.1.02.009;Patentes, RTO y habilitaciones;egreso;S;none
5.1.02.010;Comisiones por cuenta y orden (CVLP);egreso;S;none
5.1.03;Costo de áridos y alquiler;egreso;N;none
5.1.03.001;Costo de áridos (cantera);egreso;S;none
5.1.03.002;Costo de maquinaria de alquiler;egreso;S;none
5.2;Gastos de administración;egreso;N;none
5.2.01;Estructura;egreso;N;none
5.2.01.001;Sueldos de administración;egreso;S;none
5.2.01.002;Cargas sociales de administración;egreso;S;none
5.2.01.003;Honorarios profesionales;egreso;S;none
5.2.01.004;Alquileres;egreso;S;none
5.2.01.005;Servicios (luz, gas, agua, internet, teléfono);egreso;S;none
5.2.01.006;Papelería, sistemas y suscripciones;egreso;S;none
5.2.01.007;Seguros generales;egreso;S;none
5.2.01.008;Movilidad y viáticos;egreso;S;none
5.2.01.009;Gastos y comisiones bancarias;egreso;S;none
5.2.01.010;Amortizaciones de bienes de uso;egreso;S;none
5.2.01.011;Gastos varios de administración;egreso;S;none
5.3;Gastos de comercialización;egreso;N;none
5.3.01;Impuestos y gastos comerciales;egreso;N;none
5.3.01.001;Impuesto sobre los Ingresos Brutos;egreso;S;none
5.3.01.002;Tasa de seguridad e higiene;egreso;S;none
5.3.01.003;Deudores incobrables;egreso;S;none
5.4;Resultados financieros e impuestos;egreso;N;none
5.4.01;Financieros;egreso;N;none
5.4.01.001;Intereses bancarios;egreso;S;none
5.4.01.002;Intereses fiscales y resarcitorios;egreso;S;none
5.4.01.003;Impuesto a los débitos y créditos bancarios (no computable);egreso;S;none
5.4.01.004;Diferencia de cambio negativa;egreso;S;none
5.4.01.005;Resultado por exposición a la inflación (RECPAM);egreso;S;none
5.4.02;Impuesto a las ganancias;egreso;N;none
5.4.02.001;Impuesto a las ganancias del ejercicio;egreso;S;none
